bloomberg_ticker,name_ticker,isin,figi,share_class_figi,composite_figi
3549 JP,KUSURI NO AOKI HOLDINGS CO LTD,JP3266190002,BBG00D845GC0,BBG00D845GD9,BBG00D845GC0
3552 TT,,,,,
3556 TT,,,,,
3558 TT,,,,,
3561 TT,SOLARTECH ENERGY CORP,TW0003561007,BBG000RG55X1,BBG001STKZT2,BBG000RG55X1
3563 JP,MACHVISION INC,TW0003563003,BBG00G2CTFK8,BBG00G2CTG35,BBG00G2CTFK8
3563 TT,MACHVISION INC,TW0003563003,,,
3569 JP,SEIREN CO LTD,JP3413800008,BBG000BJXB13,BBG001S6CFJ6,BBG000BJXB13
3573 TT,ENTIRE TECHNOLOGY TWD10  TAIWAN STOCK EXCHANG,,BBG000T6N428,BBG001SZD362,BBG000T6N428
3576 TT,UNITED RENEWABLE ENERGY CO LTD,TW0003576005,,,
357780 KS,SOULBRAIN CO LTD ORDINARY SHARES,,BBG00RHPDHQ6,BBG00RHPDHV0,BBG00RHPDHQ6
3582 TT,,,BBG000J568Q5,BBG001T3HY06,BBG000J568Q5
3583 TT,SCIENTECH CORP,TW0003583001,,,
3584 TT,J TOUCH CORPORATIO TWD10  TAIWAN STOCK EXCHANG,,BBG000BXW400,BBG001SJN9Y3,BBG000BXW400
3591 JP,WACOAL HOLDINGS CORP,JP3992400006,BBG000BCWTW6,BBG001S5X3X6,BBG000BCWTW6
3591 TT,EDISON OPTO CORP,TW0003591004,,,
3592 TT,RAYDIUM SEMICONDUCTOR,TW0003592002,,,
3593 JP,HOGY MEDICAL CO LTD,JP3840800001,BBG000BSRV43,BBG001S6ZZB5,BBG000BSRV43
3596 TT,ARCADYAN TECHNOLOGY CORP,TW0003596003,,,
3598 TT,ILI TECHNOLOGY CORP TWD10  TAIWAN STOCK EXCHANG,,BBG000VTJZT2,BBG001T4DWW7,BBG000VTJZT2
3605 JP,ACES ELECTRONICS CO LTD,TW0003605002,BBG000PY7L21,BBG001SGFS67,BBG000PY7L21
3605 TT,ACES ELECTRONICS CO LTD,TW0003605002,,,
3607 TT,COXON PRECISE INDUSTRIAL CO LTD,TW0003607008,,,
3608 JP,TSI HOLDINGS CO LTD,JP3538690003,BBG001P0LHT7,BBG001V17TQ1,BBG001P0LHT7
3611 TT,,,,,
3613 HK,BEIJING TONG REN TANG CHINESE MEDICINE CO LTD,HK0000145638,BBG004HNJ6Q0,BBG001V0L5K5,BBG001K7N6B8
361610 KS,SK IE TECHNOLOGY CO LTD,KR7361610009,BBG00XKK05F2,BBG00XKK05G1,BBG00XKK05F2
3622 TT,YOUNG FAST OPTOELECTRONICS CO LTD,TW0003622007,,,
3626 JP,TIS INC,JP3104890003,BBG000MYGX28,BBG001SQG9X6,BBG000MYGX28
363 HK,SHANGHAI INDUSTRIAL HOLDINGS LTD,HK0363006039,BBG000GMM3L9,BBG001S8XB08,BBG000GMM348
3630 TT,,,,,
3632 JP,GREE INC,JP3274070006,BBG000DP0P03,BBG001T1RTS0,BBG000DP0P03
3635 JP,KOEI TECMO HOLDINGS CO LTD,JP3283460008,BBG000BXRCM4,BBG001ST2GK3,BBG000BXRCM4
3636 JP,MITSUBISHI RESEARCH INSTITUTE INC,JP3902200009,BBG000DL6PK4,BBG001SHS3S2,BBG000DL6PK4
3638 TT,INTEGRATED MEMORY TWD10  TAIWAN STOCK EXCHANG,,BBG000QR3M18,BBG001T8HFG9,BBG000QR3M18
3645 TT,TAIMIDE TECH INC,TW0003645008,,,
3653 TT,JENTECH PRECISION INDUSTRIAL CO LTD,TW0003653002,,,
3655 JP,BRAINPAD INC,JP3831460005,BBG002077T17,BBG002077TJ8,BBG002077T17
3656 JP,KLAB INC,JP3268870007,BBG001C7VLT6,BBG001TWND10,BBG001C7VLT6
3657 JP,POLETOWIN PITCREW HOLDINGS INC,JP3855950006,BBG00244H6V6,BBG00244H7B6,BBG00244H6V6
3658 TT,,,BBG001NFVC34,BBG001V140V1,BBG001NFVC34
3659 JP,NEXON CO LTD,JP3758190007,BBG001CDRZ53,BBG001TWVW00,BBG001CDRZ53
3660 JP,ISTYLE INC,JP3102320003,BBG000BS4B88,BBG001SHB3R1,BBG000BS4B88
3661 TT,ALCHIP TECHNOLOGIES LTD,KYG022421088,,,
3665 TT,BIZLINK HOLDING INC,KYG114741062,,,
3668 JP,COLOPL INC,JP3305960001,BBG0032PK2C5,BBG0032PK2D4,BBG0032PK2C5
3673 JP,TPK HOLDING CO LTD,KYG898431096,BBG001BW8050,BBG001TVFNM6,BBG001BW8050
3673 TT,TPK HOLDING CO LTD,KYG898431096,,,
3676 JP,HEARTS UNITED GROUP CO LTD,JP3765110006,BBG005798B44,BBG005798B53,BBG005798B44
3678 JP,MEDIA DO CO LTD,JP3921230003,BBG003S484X1,BBG003S484Y0,BBG003S484X1
3686 TT,DANEN TECHNOLOGY CORP,TW0003686002,,,
3687 JP,FIXSTARS CORPORATION,JP3802950000,BBG000C0RW41,BBG001STQ0H6,BBG000C0RW41
3688 JP,CARTA HOLDINGS INC,JP3855650002,BBG000K88KX0,BBG001SJJJL0,BBG000K88KX0
3691 TT,,,,,
3697 JP,MSTAR SEMICONDUCTO TWD10  TAIWAN STOCK EXCHANG,,BBG004WB5FV8,BBG004WB5FW7,BBG004WB5FV8
3697 TT,MSTAR SEMICONDUCTO TWD10  TAIWAN STOCK EXCHANG,,BBG000Q63156,BBG001SRT201,BBG000Q63156
3698 TT,LEXTAR ELECTRONICS CORPORATION,TW0003698007,BBG000JVX0M9,BBG001T3S4Y3,BBG000JVX0M9
3702 TT,WPG HOLDINGS LTD,TW0003702007,,,
3703 TT,CONTINENTAL HOLDINGS CORP,TW0003703005,,,
3704 TT,UNIZYX HOLDING CORP,TW0003704003,,,
3705 TT,YUNGSHIN GLOBAL HOLDING CORP,TW0003705000,,,
3706 TT,MITAC HOLDINGS CORP,TW0003706008,,,
3708 TT,SWANCOR HOLDING CO LTD,TW0003708004,,,
371 HK,BEIJING ENTERPRISES WATER GROUP LT,BMG0957L1090,BBG000BDW6Y2,BBG001S78VY7,BBG000BDW6C6
3711 TT,ASE INDUSTRIAL HOLDING CO LTD,TW0003711008,,,
3713 JP,,,BBG000G8RJL0,BBG001SH55Z4,BBG000G8RJL0
3714 TT,ENNOSTAR INC,TW0003714002,,,
3722 JP,,,BBG000BWRNY9,BBG001SCQP51,BBG000BWRNY9
3727 JP,APLIX CORP,JP3122610003,BBG000BHXQ50,BBG001S87252,BBG000BHXQ50
3730 JP,,,BBG000FJ54W2,BBG001SGVDQ0,BBG000FJ54W2
373220 KS,LG ENERGY SOLUTION LTD,KR7373220003,BBG00ZN6CKP8,BBG00ZN6CKS5,BBG00ZN6CKP8
3738 JP,T GAIA CORP,JP3893700009,BBG000K264X1,BBG001SJFQR2,BBG000K264X1
375500 KS,DL E&C CO LTD,KR7375500006,BBG00XGC5RL5,BBG00XGC5RV4,BBG00XGC5RL5
3762 JP,TECHMATRIX CORP,JP3545130001,BBG000FJXS03,BBG001SGVNJ6,BBG000FJXS03
376300 KS,DEAR U CO LTD,,BBG011BN0C42,BBG011BN0C51,BBG011BN0C42
3765 JP,GUNGHO ONLINE ENTERTAINMENT INC,JP3235900002,BBG000QTJ4B6,BBG001SNPMH2,BBG000QTJ4B6
3769 JP,GMO PAYMENT GATEWAY INC,JP3385890003,BBG000BD0YH5,BBG001S7SLX8,BBG000BD0YH5
376980 KS,WANTED LAB INC,,BBG011KJT368,BBG011KJT3B2,BBG011KJT368
3770 JP,ZAPPALLAS INC,JP3345770006,BBG000C10ND8,BBG001SKKNT8,BBG000C10ND8
377300 KS,KAKAOPAY CORP,KR7377300009,BBG00GXP1NT9,BBG00GXP1NV6,BBG00GXP1NT9
3774 JP,INTERNET INITIATIVE JAPAN INC,JP3152820001,BBG000D5HXN7,BBG001SG98G7,BBG000D5HXN7
3789 JP,,,BBG000BM6PB4,BBG001SDJ8S0,BBG000BM6PB4
3800 HK,GCLPOLY ENERGY HOLDINGS LTD,KYG3774X1088,BBG000TRZNP2,BBG001SRS4V4,BBG000TRZNF3
3811 JP,,,BBG000PMMJX1,BBG001SR5895,BBG000PMMJX1
3819 JP,,,BBG000GBHYR5,BBG001SNWJ09,BBG000GBHYR5
381970 KS,K CAR CO LTD,KR7381970003,BBG00L7ZKG91,BBG00L7ZKGB8,BBG00L7ZKG91
383220 KS,F&F CO LTD,KR7383220001,BBG00Y94S6M9,BBG00Y94S6R4,BBG00Y94S6M9
384 HK,CHINA GAS HOLDINGS LTD,BMG2109G1033,BBG000C2ZS65,BBG001S7TT33,BBG000C2ZRZ5
3844 JP,COMTURE CORP,JP3305560009,BBG000LJPQW4,BBG001SQ23K8,BBG000LJPQW4
3857 JP,LAC CO LTD,JP3967900006,BBG000T6PLK8,BBG001SZD709,BBG000T6PLK8
3861 JP,OJI HOLDINGS CORP,JP3174410005,BBG000BFYKK9,BBG001S6B6R8,BBG000BFYKK9
3863 JP,NIPPON PAPER INDUSTRIES CO LTD,JP3721600009,BBG0046L16R4,BBG0046L1783,BBG0046L16R4
3864 JP,MITSUBISHI PAPER MILLS LTD,JP3901200000,BBG000BFYTZ4,BBG001S6B714,BBG000BFYTZ4
3865 JP,HOKUETSU KISHU PAPER CO LTD,JP3841800000,BBG000BFZDF0,BBG001S6B7S5,BBG000BFZDF0
388 HK,HONG KONG EXCHANGES AND CLEARING L,,BBG000BGW354,BBG001S7XYN5,BBG000BGW2Q3
3880 JP,DAIO PAPER CORP,JP3440400004,BBG000BFZXT1,BBG001S6B867,BBG000BFZXT1
3902 JP,MEDICAL DATA VISION CO LTD,JP3921250001,BBG002YLGQJ6,BBG002YLGQK4,BBG002YLGQJ6
392 HK,BEIJING ENTERPRISES HOLDINGS LTD,,BBG000BGDW51,BBG001S7GQQ8,BBG000BGDVQ0
3923 JP,RAKUS CO LTD,JP3967170006,BBG001BDMCN0,BBG001TLH340,BBG001BDMCN0
393 HK,GLORIOUS SUN ENTERPRISES LTD,,BBG000HD8156,BBG001S97VD7,BBG000HD8058
3932 JP,AKATSUKI SHOJI CO LTD,JP3107000006,BBG00C7B2GN8,BBG00C7B2GP6,BBG00C7B2GN8
3938 JP,LINE CORPORATION,JP3966750006,BBG005CK07B2,BBG005CK07C1,BBG005CK07B2
3941 JP,RENGO CO LTD,JP3981400009,BBG000BK1HR4,BBG001S6CHK0,BBG000BK1HR4
3966 JP,UZABASE INC,JP3944390008,BBG0072F0HK8,BBG0072F0HL7,BBG0072F0HK8
3978 JP,MACROMILL INC,JP3863030007,BBG005PD76B9,BBG005PD76C8,BBG005PD76B9
398 HK,ORIENTAL WATCH HOLDINGS LTD,,BBG000BF4NJ8,BBG001S7GQB4,BBG000BF4NB6
3994 JP,MONEY FORWARD INC,JP3869960009,BBG007R90QQ9,BBG007R90QR8,BBG007R90QQ9
4 HK,WHARF HOLDINGS LTD,,BBG000BD5H69,BBG001S61519,BBG000BD5GW2
4004 JP,SHOWA DENKO KK,JP3368000000,BBG000BG05J9,BBG001S6B894,BBG000BG05J9
4005 JP,SUMITOMO CHEMICAL CO LTD,JP3401400001,BBG000BG0GJ5,BBG001S6B8B1,BBG000BG0GJ5
4021 JP,NISSAN CHEMICAL INDUSTRIES LTD,JP3670800006,BBG000BK4WN2,BBG001S6CJB6,BBG000BK4WN2
4022 JP,RASA INDUSTRIES LTD,JP3967400007,BBG000BK5952,BBG001S6CJD4,BBG000BK5952
4023 JP,KUREHA CORP,JP3271600003,BBG000BKXB47,BBG001S6FBV8,BBG000BKXB47
402340 KS,SK SQUARE CO LTD,KR7402340004,BBG011CLDZ86,BBG011CLDZD0,BBG011CLDZ86
4028 JP,ISHIHARA SANGYO KAISHA LTD,JP3136800004,BBG000BG1081,BBG001S6B8D9,BBG000BG1081
403870 KS,HPSP CO LTD,,,,
4041 JP,NIPPON SODA CO LTD,JP3726200003,BBG000BK5VJ8,BBG001S6CJJ8,BBG000BK5VJ8
4042 JP,TOSOH CORP,JP3595200001,BBG000BCKVD5,BBG001S6B8F7,BBG000BCKVD5
4043 JP,TOKUYAMA CORP,JP3625000009,BBG000BK6372,BBG001S6CJK6,BBG000BK6372
4044 JP,CENTRAL GLASS CO LTD,JP3425000001,BBG000BK6CB7,BBG001S6CJL5,BBG000BK6CB7
4045 JP,TOAGOSEI CO LTD,JP3556400004,BBG000BG19M6,BBG001S6B8G6,BBG000BG19M6
4046 JP,OSAKA SODA CO LTD,JP3485900009,BBG000BK6MZ9,BBG001S6CJM4,BBG000BK6MZ9
4047 JP,KANTO DENKA KOGYO CO LTD,JP3232600001,BBG000BK6TK0,BBG001S6CJN3,BBG000BK6TK0
4051 JP,GMO FINANCIAL GATE INC,JP3386710002,BBG00DP09S84,BBG00DP09S93,BBG00DP09S84
4053 JP,SUN INC,,,,
4061 JP,DENKA CO LTD,JP3549600009,BBG000BG1PF8,BBG001S6B8H5,BBG000BG1PF8
4062 JP,IBIDEN CO LTD,JP3148800000,BBG000BG1X98,BBG001S6B8J3,BBG000BG1X98
4063 JP,SHINETSU CHEMICAL CO LTD,JP3371200001,BBG000BG24K8,BBG001S6B8K1,BBG000BG24K8
4065 JP,,,BBG000BK77X3,BBG001S6CJR9,BBG000BK77X3
4071 JP,PLUS ALPHA CONSULTING CO LTD,JP3832700003,,,
4078 JP,SAKAI CHEMICAL INDUSTRY CO LTD,JP3312800000,BBG000BK78B5,BBG001S6CJT7,BBG000BK78B5
4082 JP,DAIICHI KIGENSO KAGAKU KOGYO CO LTD,JP3474350000,BBG000QD8L70,BBG001SG2M46,BBG000QD8L70
4088 JP,AIR WATER INC,JP3160670000,BBG000BK7K19,BBG001S6CJX2,BBG000BK7K19
4091 JP,TAIYO NIPPON SANSO CORP,JP3711600001,BBG000BFJS38,BBG001S67871,BBG000BFJS38
4092 JP,NIPPON CHEMICAL INDUSTRIAL CO LTD,JP3691600005,BBG000BHQ493,BBG001S6C4Q3,BBG000BHQ493
4095 JP,NIHON PARKERIZING,JP3744600002,BBG000BHV031,BBG001S6C5K6,BBG000BHV031
41 HK,GREAT EAGLE HOLDINGS LTD,BMG4069C1486,BBG000BDW7N2,BBG001S67B10,BBG000BDW7G0
4104 TT,EXCELSIOR MEDICAL CO LTD,TW0004104005,,,
4105 TT,,,,,
4107 TT,,,,,
4109 JP,STELLA CHEMIFA CORP,JP3399720006,BBG000BGM6D9,BBG001S7VXS4,BBG000BGM6D9
4112 JP,HODOGAYA CHEMICAL CO LTD,JP3852600000,BBG000BG2SB5,BBG001S6B947,BBG000BG2SB5
4114 JP,NIPPON SHOKUBAI CO LTD,JP3715200006,BBG000BG30X1,BBG001S6B956,BBG000BG30X1
4118 JP,KANEKA CORP,JP3215800008,BBG000BJ0YQ2,BBG001S6C6Q8,BBG000BJ0YQ2
4119 TT,SCI PHARMTECH INC,TW0004119003,,,
4126 TT,,,,,
4129 TT,,,,,
4137 TT,CHLITINA HOLDING LTD,KYG211641017,,,
4141 TT,ROTAM GLOBAL AGROSCIENCES LIMITED,KYG7644E1098,BBG001V4W7X7,BBG001V4W7Y6,BBG001V4W7X7
4142 TT,ADIMMUNE CORP,TW0004142005,,,
4142 TW,ADIMMUNE CORP,TW0004142005,,,
4144 TT,COLAND HOLDINGS LIMITED,KYG2379A1094,BBG0024MSZ40,BBG0024MSZ77,BBG0024MSZ40
4147 TT,4147,,,,
4151 JP,KYOWA KIRIN CO LTD,JP3256000005,BBG000BG3926,BBG001S6B983,BBG000BG3926
4152 TT,,,BBG0025R3NX0,BBG0025R3P01,BBG0025R3NX0
4157 TT,,,,,
4162 TT,,,,,
4163 TT,,,,,
4164 TT,CHC HEALTHCARE GROUP,TW0004164009,,,
4165 JP,PLAID INC,JP3833270006,BBG00KP81NT7,BBG00KP81NV4,BBG00KP81NT7
4174 TT,OBI PHARMA INC,,,,
4180 JP,APPIER GROUP INC,JP3160960005,BBG00ZF50Q88,BBG00ZF50Q97,BBG00ZF50Q88
4180 TT,APPIER GROUP INC,JP3160960005,BBG003LXL0X7,BBG003LXL101,BBG003LXL0X7
4182 JP,MITSUBISHI GAS CHEMICAL CO INC,JP3896800004,BBG000BG3JG9,BBG001S6B992,BBG000BG3JG9
4183 JP,MITSUI CHEMICALS INC,JP3888300005,BBG000BG3V90,BBG001S6B9B9,BBG000BG3V90
4185 JP,JSR COR,JP3385980002,BBG000BG42K0,BBG001S6B9D7,BBG000BG42K0
4186 JP,TOKYO OHKA KOGYO CO LTD,JP3571800006,BBG0014R87X3,BBG001S6C7F8,BBG0014R87X3
4187 JP,OSAKA ORGANIC CHEMICAL INDUSTRY LTD,JP3187000009,BBG000BJ5526,BBG001S6C7K2,BBG000BJ5526
4188 JP,MITSUBISHI CHEMICAL HOLDINGS CORP,JP3897700005,BBG000C02Z05,BBG001SJ8Y57,BBG000C02Z05
4189 JP,KH NEOCHEM CO LTD,JP3277040006,BBG00839B4F2,BBG00839B4G1,BBG00839B4F2
4190 TW,,,,,
4194 JP,VISIONAL INC,JP3800270005,BBG00RZSR6K5,BBG00RZSR6L4,BBG00RZSR6K5
420 HK,FOUNTAIN SET HOLDINGS LTD,,BBG000BDW5V7,BBG001S6HSS3,BBG000BDW547
4201 JP,,,BBG000BG49M3,BBG001S6B9F5,BBG000BG49M3
4202 JP,DAICEL CORP,JP3485800001,BBG000BG4L91,BBG001S6B9G4,BBG000BG4L91
4203 JP,SUMITOMO BAKELITE CO LTD,JP3409400003,BBG000BG4V44,BBG001S6B9H3,BBG000BG4V44
4204 JP,SEKISUI CHEMICAL CO LTD,JP3419400001,BBG000BG5531,BBG001S6B9J1,BBG000BG5531
4205 JP,ZEON CORP,JP3725400000,BBG000BJFTW0,BBG001S6C9V6,BBG000BJFTW0
4206 JP,AICA KOGYO,JP3100800006,BBG000BJG1K3,BBG001S6C9W5,BBG000BJG1K3
4208 JP,UBE INDUSTRIES LTD,JP3158800007,BBG000BCL2Z4,BBG001S6B9K9,BBG000BCL2Z4
4217 JP,HITACHI CHEMICAL COMPANY LTD,JP3785000005,BBG000BJHFG6,BBG001S6CB87,BBG000BJHFG6
4238 JP,MIRAIAL CO LTD,JP3910570005,BBG000FBK2H3,BBG001SNHT77,BBG000FBK2H3
4246 JP,DAIKYONISHIKAWA CORP,JP3481300006,BBG000R5NYX2,BBG001ST57R3,BBG000R5NYX2
4259 JP,EXAWIZARDS INC,,BBG00KG38CT5,BBG00KG38CV2,BBG00KG38CT5
4272 JP,NIPPON KAYAKU CO LTD,JP3694400007,BBG000BJLSH2,BBG001S6CC03,BBG000BJLSH2
4282 JP,EPS HOLDINGS INC,JP3130770005,BBG000BGXWJ4,BBG001S7Y1S1,BBG000BGXWJ4
4290 JP,PRESTIGE INTERNATIONAL INC,JP3833620002,BBG000JL4WR8,BBG001SFKYQ8,BBG000JL4WR8
4293 JP,SEPTENI HOLDINGS CO LTD,JP3423300007,BBG000BFZ9D1,BBG001S7MB20,BBG000BFZ9D1
4295 JP,FAITH INC,JP3802690002,BBG000K0S826,BBG001SJF3F6,BBG000K0S826
4306 TT,YEM CHIO CO LTD,TW0004306006,,,
4307 JP,NOMURA RESEARCH INSTITUTE LTD,JP3762800005,BBG000KPFMH8,BBG001SD2041,BBG000KPFMH8
4308 JP,JSTREAM INC,JP3386170009,BBG000C4PRT9,BBG001SF0XM6,BBG000C4PRT9
4312 JP,CYBERNET SYSTEMS CO LTD,JP3311570000,BBG000BGNZ08,BBG001S7W611,BBG000BGNZ08
4314 JX,,,BBG002GXY0Y0,BBG001SGMFW8,BBG000F008Y7
4315 JP,,,BBG000GVXJX9,BBG001SHG1N4,BBG000GVXJX9
4321 JP,KENEDIX INC,JP3281630008,BBG000KJFY31,BBG001SJMLW9,BBG000KJFY31
4322 JX,,,BBG002GXYBV9,BBG001SFLKM1,BBG000KJFW99
4324 JP,DENTSU INC,JP3551520004,BBG000BT53Q3,BBG001SDV6G3,BBG000BT53Q3
4325 JP,,,BBG000F6HLK2,BBG001SFHYX4,BBG000F6HLK2
4329 JP,,,BBG000L470M5,BBG001SFWXQ7,BBG000L470M5
4331 JP,TAKE AND GIVE NEEDS CO LTD,JP3539350003,BBG000L59Y28,BBG001SFWXP8,BBG000L59Y28
4340 JP,,,BBG000LQSKF7,BBG001SK44G2,BBG000LQSKF7
4343 JP,AEON FANTASY CO LTD,JP3131420006,BBG000LTB5H0,BBG001SK5195,BBG000LTB5H0
4344 JP,SOURCENEXT CORP,JP3431200009,BBG000LW9GQ2,BBG001SK5QQ1,BBG000LW9GQ2
4368 JP,FUSO CHEMICAL CO LTD,JP3822600007,BBG000HNMTV8,BBG001SD43S7,BBG000HNMTV8
4369 JP,TRI CHEMICAL LABORATORIES INC,JP3636000006,BBG000RLPHK6,BBG001STVFW0,BBG000RLPHK6
4373 JP,SIMPLEX HOLDINGS INC,JP3383270000,BBG0125MG2T7,BBG0125MG2W3,BBG0125MG2T7
4384 JP,RAKSUL INC,JP3967180005,BBG00DJH5757,BBG00DJH57B0,BBG00DJH5757
4385 JP,MERCARI INC,JP3921290007,BBG007R3DR04,BBG007R3DR13,BBG007R3DR04
4397 JP,TEAMSPIRIT INC,JP3507200008,BBG00LGGC729,BBG00LGGC738,BBG00LGGC729
44 HK,,,BBG000BDWL06,BBG001S6HVM2,BBG000BDWKB6
440 HK,DAH SING FINANCIAL HOLDINGS LTD,HK0440001847,BBG000BCSV01,BBG001S6HRB3,BBG000BCSTJ6
4401 JP,ADEKA CORP,JP3114800000,BBG000BJMFK5,BBG001S6CC67,BBG000BJMFK5
4401 TT,ADEKA CORP,JP3114800000,,,
4403 JP,NOF CORP,JP3753400005,BBG000BG5N32,BBG001S6B9N6,BBG000BG5N32
4423 JP,ARTERIA NETWORKS CORPORATION,JP3126240005,BBG005ZH5KW7,BBG005ZH5KX6,BBG005ZH5KW7
4427 JP,EDULAB INC,JP3164480000,BBG00FXZLBV0,BBG00FXZLBX8,BBG00FXZLBV0
4435 JP,KAONAVI INC,JP3205900008,BBG00NB0JK47,BBG00NB0JK56,BBG00NB0JK47
4436 JP,MINKABU THE INFONOID INC,JP3911000002,BBG005FFP6S7,BBG005FFP6T6,BBG005FFP6S7
4438 TT,QUANG VIET ENTERPRISE CO LTD,TW0004438007,,,
4443 JP,SANSAN INC,JP3332540008,BBG006JDB807,BBG006JDB816,BBG006JDB807
4448 JP,CHATWORK CO LTD,JP3512900006,BBG00PZHMRS4,BBG00PZHMRT3,BBG00PZHMRS4
4449 JP,GIFTEE INC,JP3264870001,BBG00N55FPV6,BBG00N55FPW5,BBG00N55FPV6
4452 JP,KAO CORP,JP3205800000,BBG000BG5Y92,BBG001S6B9P4,BBG000BG5Y92
4461 JP,DKS CO LTD,JP3475000000,BBG000BJP0X1,BBG001S6CCJ3,BBG000BJP0X1
4471 JP,SANYO CHEMICAL INDUSTRIES LTD,JP3337600005,BBG000BJP739,BBG001S6CCK1,BBG000BJP739
4477 JP,BASE INC,JP3835260005,BBG00DZX0VW6,BBG00DZX0VX5,BBG00DZX0VW6
4478 JP,FREEE KK,JP3826520003,BBG004WHCMZ8,BBG004WHCN04,BBG004WHCMZ8
4480 JP,MEDLEY INC,JP3921310003,BBG00MFDBFF4,BBG00MFDBFG3,BBG00MFDBFF4
4483 JP,JMDC INC,JP3386690006,BBG00QV0BZ70,BBG00QV0BZ89,BBG00QV0BZ70
4485 JP,JTOWER INC,JP3386700003,BBG00HJWY6Q2,BBG00HJWY6R1,BBG00HJWY6Q2
45 HK,HONG KONG AND SHANGHAI HOTELS LTD,,BBG000BDWVZ6,BBG001S6HWJ4,BBG000BDWVH6
4502 JP,TAKEDA PHARMACEUTICAL CO LTD,JP3463000004,BBG000BJPPH4,BBG001S62G78,BBG000BJPPH4
4503 JP,ASTELLAS PHARMA INC,JP3942400007,BBG000BCLDW3,BBG001S6B9T0,BBG000BCLDW3
4505 JP,,,BBG000BG64X0,BBG001S6B9W6,BBG000BG64X0
4506 JP,SUMITOMO DAINIPPON PHARMA CO LTD,JP3495000006,BBG000BG65R4,BBG001S6BB33,BBG000BG65R4
4507 JP,SHIONOGI & CO LTD,JP3347200002,BBG000BJQ7X5,BBG001S6CCT2,BBG000BJQ7X5
4508 JP,MITSUBISHI TANABE PHARMA CORPORATION,JP3469000008,BBG000BJQQY2,BBG001S6CCX7,BBG000BJQQY2
4509 JP,,,BBG000BCVZ17,BBG001S6CCY6,BBG000BCVZ17
451 HK,GCL NEW ENERGY HOLDINGS LTD,,BBG000BG3X87,BBG001S6ZM06,BBG000BG3WV3
4516 JP,NIPPON SHINYAKU CO LTD,JP3717600005,BBG000BJV019,BBG001S6CF42,BBG000BJV019
4519 JP,CHUGAI PHARMACEUTICAL CO LTD,JP3519400000,BBG000BJVLC1,BBG001S6CF60,BBG000BJVLC1
4521 JP,KAKEN PHARMACEUTICAL CO LTD,JP3207000005,BBG000BJWCP6,BBG001S6CF97,BBG000BJWCP6
4523 JP,EISAI CO LTD,JP3160400002,BBG000BG6F83,BBG001S6BB51,BBG000BG6F83
4526 TT,TONGTAI MACHINE TOOL CO LTD,TW0004526009,,,
4527 JP,ROHTO PHARMACEUTICAL COLTD,JP3982400008,BBG000BJXVQ2,BBG001S6CFN1,BBG000BJXVQ2
4528 JP,ONO PHARMACEUTICAL LTD,JP3197600004,BBG000BJY392,BBG001S6CFP9,BBG000BJY392
4530 JP,HISAMITSU PHARMACEUTICAL INC,JP3784600003,BBG000BG6P27,BBG001S6BB60,BBG000BG6P27
4532 TT,RECHI PRECISION CO LTD,TW0004532007,,,
4534 JP,MOCHIDA PHARMACEUTICAL,JP3922800002,BBG000BJYBV9,BBG001S6CFS6,BBG000BJYBV9
4536 JP,SANTEN PHARMACEUTICAL CO LTD,JP3336000009,BBG000BJYV90,BBG001S6CFW1,BBG000BJYV90
4536 TT,TOPKEY CORP,TW0004536008,,,
4539 JP,NIPPON CHEMIPHAR CO LTD,JP3701600003,BBG000BG72D5,BBG001S6BB88,BBG000BG72D5
4540 JP,TSUMURA & CO,JP3535800001,BBG000BCX1R2,BBG001S6CGH6,BBG000BCX1R2
4541 JP,NICHIIKO PHARMACEUTICAL CO LTD,JP3687200000,BBG000BK02Q9,BBG001S6CGM0,BBG000BK02Q9
4543 JP,TERUMO CORP,JP3546800008,BBG000BK08X8,BBG001S6CGR5,BBG000BK08X8
4544 JP,HU GROUP HOLDINGS ORD SHS,JP3822000000,BBG000BK0KG0,BBG001S6CGV0,BBG000BK0KG0
4547 JP,KISSEI PHARMACEUTICAL CO LTD,JP3240600001,BBG000BJSCQ0,BBG001S6CDR2,BBG000BJSCQ0
4548 JP,SEIKAGAKU CORP,JP3414000004,BBG000BK93S6,BBG001S6J397,BBG000BK93S6
4549 JP,EIKEN CHEMICAL CO LTD,JP3160700005,BBG000BQ6011,BBG001S6H843,BBG000BQ6011
4551 TT,GLOBAL PMX CO LTD,TW0004551007,,,
4552 JP,JCR PHARMACEUTICALS CO LTD,JP3701000006,BBG000BBW827,BBG001S5QZ36,BBG000BBW827
4553 JP,TOWA PHARMACEUTICAL CO LTD,JP3623150004,BBG000D9DC59,BBG001S86F81,BBG000D9DC59
4554 JP,FUJI PHARMA CO LTD,JP3816200004,BBG000F7NGK4,BBG001S8HS36,BBG000F7NGK4
4555 JP,SAWAI GROUP HOLDINGS CO LTD,JP3323050009,BBG000C1YJK2,BBG001S7QTF3,BBG000C1YJK2
4563 JP,ANGES INC,JP3127700007,BBG000P1KHL6,BBG001SL2FT3,BBG000P1KHL6
4565 JP,SOSEI GROUP CORP,JP3431300007,BBG000Q25Y88,BBG001SDCZZ9,BBG000Q25Y88
4568 JP,DAIICHI SANKYO CO LTD,JP3475350009,BBG000BWPLT1,BBG001SJB4R5,BBG000BWPLT1
